"id","name","gender","language","praise_text","meaning","category","keywords"
"1","Ade","male","yoruba","Adé, ọmọ ọlọ́lá, ọmọ akín, ọmọ a kì í bẹ̀rù ogun,
Adé ọmọ ẹni tí ń jẹ́ kí ìdílé rẹ̀ láyọ̀,
Adé ọmọ ẹni tí a fi adé ṣe ọlá, tí a fi ìtẹ́ dá ìtàn,
Adé tí wọ́n bí láti inú ọlá àti ìyìn, láti inú ìran akíkanjú,
Adé ọmọ aládé tí ń rìn bí ọba, tí ẹsẹ̀ rẹ̀ kì í tẹ ilẹ̀ ìtìjú,
Adé, a kì í fi orí rẹ̀ tì lulẹ̀ níwájú ọ̀tá,
Adé ọmọ tí ìyìn ń tẹ̀lé bí òjìji tí kì í kúrò lára ẹni.","Child of royalty and bravery, born to carry the crown with honor","royalty","brave;royal;crown;lineage"
"2","Tunde","male","yoruba","Túndé, ọmọ tí a tún bí wá sínú ọlá ìdílé,
Túndé, ọmọ ẹni tí ó padà wá gẹ́gẹ́ bí ìbùkún baba ńlá,
Túndé tí ayé tún ṣí sílẹ̀ fún, tí ìdílé fi ayọ̀ pè lórúkọ,
Túndé, a kì í fi ìpadàbọ̀ rẹ̀ ṣe àìmọwọ́mẹsẹ̀,
Túndé ọmọ tí ẹ̀mí rẹ̀ jinlẹ̀ dé ibi tí ìran ti bẹ̀rẹ̀,
Túndé, ọmọ tí ilé ń fi ìgbéyìn ọlá ṣe àmì rẹ̀.","One who is reborn into honor, believed to carry a returning ancestral spirit","honor","rebirth;honor;ancestor;lineage"
"3","Sade","female","yoruba","Sadé, ọmọ ọlọ́lá, aya ọba tí ń tan ìmọ́lẹ̀,
Sadé, ọmọ tí a fi adé yí ká, tí ọlá jẹ́ ìbòrí rẹ̀,
Sadé, ẹwà rẹ̀ ń jó bí oòrùn àárọ̀ lórí omi Èkó,
Sadé, a kì í fi ọlá rẹ̀ pín sí ẹnikẹ́ni tí kò yẹ,
Sadé ọmọ tí gbogbo ọjọ́ rẹ̀ ń tan ìmọ́lẹ̀ sí ilé ìyá rẹ̀,
Sadé, ọmọ ọba tí ìgbéyìn rẹ̀ dání ọlá gbé.","Princess who shines like light, carrying the dignity of royalty","royalty","queen;light;royalty;grace"
"4","Kunle","male","yoruba","Kúnlé, akin ọmọ jagunjagun tí ń gba ogun jà,
Kúnlé, ọmọ tí ilé kún fún ọlá nítorí wíwà rẹ̀,
Kúnlé, akin tí kì í fi ẹ̀yìn han ọ̀tá,
Kúnlé, ọmọ tí àpáta jẹ́ ọ̀rọ̀ rẹ̀, tí ìjà jẹ́ orin rẹ̀,
Kúnlé, a kì í dá a lójú láàrin àwọn akin ilẹ̀ Yorùbá,
Kúnlé ọmọ tí orúkọ rẹ̀ ń kún ilé ìdílé pẹ̀lú ìgbóhùnsáfẹ́fẹ́ ìṣẹ́gun.","Brave warrior who fills the home with victory and honor","warrior","war;strength;victory;home"
"5","Yemi","unisex","yoruba","Yẹmi, ọmọ rere tí gbogbo ayé fẹ́,
Yẹmi, ọmọ tí ó yẹ ilé, tí ó yẹ orúkọ ìdílé,
Yẹmi, a kì í fi ìwà rere rẹ̀ pa mọ́ sí ẹnikẹ́ni,
Yẹmi, ọmọ tí àwọn àgbà ń fi ẹnu yìn, tí àwọn ọ̀dọ́ ń tẹ̀lé ìṣesí rẹ̀,
Yẹmi ọmọ tí ọ̀run yàn kí ó jẹ́ olólùfẹ́ ayé.","Good, fitting child loved and honored by all who know them","virtue","kindness;love;character"
"6","Bola","female","yoruba","Bọ́lá, ọmọ ọlọ́lá tí ń gbé adé ayé,
Bọ́lá, ọmọ tí ọrọ̀ àti ọlá jọ ń tọ̀ lé láti ìgbà ìbí,
Bọ́lá, a kì í fi ọlá rẹ̀ ṣe kékeré láàrin àwọn ẹgbẹ́ rẹ̀,
Bọ́lá, ọmọ tí ìlú ń wò pẹ̀lú ọ̀wọ̀ àti ìfẹ́,
Bọ́lá ọmọ tí ìran rẹ̀ kì í ṣubú sínú ipò kékeré.","Child of wealth who carries the crown of a prosperous life","wealth","wealth;crown;prosperity"
"7","Femi","male","yoruba","Fẹ́mi, ọmọ tí gbogbo ènìyàn fẹ́ràn,
Fẹ́mi, ọmọ ìfẹ́ tí kì í mọ ìkórìíra,
Fẹ́mi, a kì í fi í sílẹ̀ láàrin ìjọ ènìyàn láì kí i,
Fẹ́mi, ọmọ tí ọ̀rọ̀ rẹ̀ dùn bí oyin ní ẹnu àwọn tó bá pàdé rẹ̀,
Fẹ́mi ọmọ tí ìfẹ́ ilé ń tẹ̀lé ní ìgbésẹ̀ gbogbo.","One loved by everyone, whose warmth draws people near","love","kindness;people;affection"
"8","Ayo","unisex","yoruba","Ayọ̀, ọmọ ayọ̀ tí ń mú inú dùn,
Ayọ̀, ọmọ tí ẹ̀rín rẹ̀ ń pa ìbànújẹ́ ilé rẹ́,
Ayọ̀, a kì í fi ojú kanlẹ̀ pẹ́ láàrin àwọn ará ilé,
Ayọ̀, ọmọ tí wọ́n dárúkọ ní ọjọ́ tí ìdùnnú kún ilé,
Ayọ̀ ọmọ tí ìtura àti àlàáfíà jọ ń tẹ̀lé níbi gbogbo.","Child of joy who brings happiness and peace wherever they go","joy","happiness;peace;laughter"
"9","Kemi","female","yoruba","Kẹ́mi, ọmọ rere tí ń mú ìbùkún wá,
Kẹ́mi, ọmọ tí ọwọ́ rẹ̀ dá, tí ọ̀rọ̀ rẹ̀ ní ìwúwo rere,
Kẹ́mi, a kì í fojú fo ìran tí ó ti ọwọ́ Ọlọ́run wá,
Kẹ́mi, ọmọ tí ilé ń gbà pẹ̀lú ọwọ́ méjèèjì,
Kẹ́mi ọmọ tí ìbùkún ń tẹ̀lé láti ìgbà èwe títí di àgbà.","Good child that brings blessings to the family and beyond","blessing","blessing;goodness;fortune"
"10","Segun","male","yoruba","Ṣẹ́gun, akin tí ń ṣẹ́gun gbogbo ọ̀tá,
Ṣẹ́gun, ọmọ tí ìṣẹ́gun jẹ́ orúkọ rẹ̀, tí ìjà kì í borí i,
Ṣẹ́gun, a kì í dá a padà sẹ́yìn láàrin ìjà ayé,
Ṣẹ́gun, ọmọ tí ọ̀tá ń bẹ̀rù, tí ọ̀rẹ́ ń gbé kalẹ̀,
Ṣẹ́gun ọmọ tí orúkọ rẹ̀ jẹ́ ìkéde ìṣẹ́gun ayérayé.","Warrior who conquers every enemy and never bows in defeat","warrior","victory;strength;triumph"
"11","Wuraola","female","yoruba","Wúràọlá, ọmọ tí wúrà wà nínú ọlá rẹ̀,
Wúràọlá, ọmọ tí iyì rẹ̀ dàbí ohun ìyebíye tí kò ní iye owó,
Wúràọlá, a kì í fi ìdíyelé sí ọmọ tí ó jẹ́ wúrà ìdílé,
Wúràọlá, ọmọ tí ọlá àti ọrọ̀ jọ ń kọ orin ìdùnnú sí,
Wúràọlá, a kì í fi ẹ̀wà rẹ̀ ṣe àìmọyì láàrin àwọn ẹgbẹ́ rẹ̀.","Child likened to gold set within honor, precious and irreplaceable to the family","precious","wealth;precious;gold"
