"headword","pos","dialect_id","jsonb_data"
"We jiro Ife aji agbananti agbananya","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""Medication for the eye should not be applied to the ear."", ""meaning"": ""Things should be done correctly."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Uzo suso ma njoadina","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""The route may be long, but let there be no evil."", ""meaning"": ""Safety is more important than speed."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Ogbu onyebuigwu obuluigwu we gbue","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""The killer of the palm frond bearer will get killed when he carries his."", ""meaning"": ""The evil doer will soon be visited with evil; you reap what you sow."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Ikwukwu kwuu wafuike okuku","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""When the breeze blows, the fowl's anus will be exposed."", ""meaning"": ""The culprit will one day be exposed."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Onyunsi uchi adaelote nachi gefo","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""He who defecates in the night forgets it will be day."", ""meaning"": ""Actions have their repercussions."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Omeke nmadu ome onwe","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""When you hurt others always, you hurt yourself."", ""meaning"": ""A habitual cheat will one day cheat himself."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Efi niwero odudu Chukwu nachua izizi","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""God Himself chases flies from a tailless cow."", ""meaning"": ""God is the helper of the helpless."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Me onye kawame ibee","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""Do for one as you did for others."", ""meaning"": ""What is sauce for the goose is sauce for the gander."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Nkpulu onyeku kaogawo","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""It is the seed that one sowed that he will reap."", ""meaning"": ""You reap what you sow."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
"Ife okei noani fu wata ri enuosisi omafua","proverb","7","{""source"": ""Dialect Seed"", ""dialect"": ""Enuani"", ""literal_translation"": ""What an elder sees sitting, a youth cannot see it standing."", ""meaning"": ""Wisdom is greater than strength."", ""origin"": ""Nwabudike, C. E. (2025). 'The Peace Weaving Wisdom of Enuani Proverbs: A Sociolinguistic Inquiry.' Asian Journal of Language, Literature and Culture Studies 8(2): 304-310. DOI: 10.9734/ajl2c/2025/v8i2239 (CC BY 4.0)"", ""license"": ""CC BY 4.0"", ""type"": ""proverb"", ""dialect_assigned_default"": false}"
