"headword","pos","dialect_id","jsonb_data"
"Agbaegonkịtị","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Agbaegonkịtị"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Ajaanụ","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Ajaanụ"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Akaekpuchiọnwa","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Akaekpuchiọnwa"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Akajiakụ","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Akajiakụ"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Akalụsịangene","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Akalụsịangene"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Akụenwebe","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Akụenwebe"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Akụiriri","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Akụiriri"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Akụnaatakasị","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Akụnaatakasị"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Akụnwata","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Akụnwata"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
"Anaeriakụ","praise_poetry","5","{""source"": ""Praise (online)"", ""genre"": ""praise_poetry"", ""language"": ""igbo"", ""subject"": ""general"", ""praise_text"": ""Anaeriakụ"", ""meaning"": """", ""origin"": ""Fabulous & Mbagwu 2021 (NJAH) — https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""source_url"": ""https://nigerianjournalsonline.com/index.php/NJAH/article/download/2195/2142"", ""license"": ""unstated — cited academic use"", ""dialect_assigned_default"": false}"
