"headword","pos","dialect_id","jsonb_data"
"haure","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""hakori"", ""english_translation"": ""tooth"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"lemu","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""lemo"", ""english_translation"": ""orange"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"raga","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""tsumma"", ""english_translation"": ""rags"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"kusu","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""bera"", ""english_translation"": ""rat"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"hauni","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""hagu"", ""english_translation"": ""left (side)"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"tankwa","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""barkono"", ""english_translation"": ""pepper"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"laka","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""tabo"", ""english_translation"": ""mud"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"shigifa","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""daki"", ""english_translation"": ""room"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"gambu","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""kofa"", ""english_translation"": ""door"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
"masha-ruwa","noun","9","{""source"": ""Dialect Seed"", ""dialect"": ""Sokoto Hausa"", ""standard_hausa_equivalent"": ""bakan-gizo"", ""english_translation"": ""rainbow"", ""origin"": ""Garba, M. I., Modu, A., & Jibir, S. 'Descriptive Analysis of Variations in Three Hausa Dialects.' SLUK Journal of English Studies. https://slukenglishjournal.com/wp-content/uploads/2025/12/Lang-13.pdf"", ""license"": ""academic source, cited; hand-curated"", ""dialect_assigned_default"": false}"
