"headword","pos","dialect_id","jsonb_data"
"A di gàárì sílẹ̀ ewúrẹ́ ńyọjú; ẹrù ìran rẹ̀ ni?","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""We prepare the saddle, and the goat presents itself; is it a burden for the lineage of goats?"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A fi ọ́ jọba ò ńṣàwúre o fẹ́ jẹ Ọlọ́run ni?","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""You have been crowned a king, and yet you make good-luck charms; would you be crowned God?"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A fijó gba Awà; a fìjà gba Awà; bí a ò bá jó, bí a ò bá jà, bí a bá ti gba Awà, kò tán bí?","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""By dancing we take possession of Awà; through fighting we take possession of Awà; if we neither dance nor fight, but take possession of Awà anyway, is the result not the same?"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A gbé gàárì ọmọ ewurẹ ńrojú; kì í ṣe ẹrù àgùntàn.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""We lift a saddle and the goat (kin) scowls; it is no burden for a sheep."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í bá ọba pàlà kí ọkọ́ ọba má ṣàn-ánni lẹ́sẹ̀.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not share a farm boundary with a king without getting one's feet gashed by the king's hoe."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í bínú ààtàn ká dalẹ̀ sígbẹ̀ẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not get angry with the rubbish dump and discard one's rubbish into the bush."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í bínú orí ká fi fìlà dé ìbàdí.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not get angry with one's head and therefore use one's cap to cover one's buttocks."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í bẹ̀rù ikú bẹ̀rù àrùn ká ní kí ọmọ ó kú sinni.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not so fear death and disease that one asks that one's child die before one."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í bọ òrìṣà lójú ọ̀fọ́n-ọ̀n; bó bá dalẹ́ a máa tú pẹpẹ.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not sacrifice to a god in the presence of a house rat; otherwise, when night falls it invades the rafter shelves."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í dàgbà má làáyà; ibi ayé bá báni là ńjẹ ẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not become an adult and yet lack courage; one lives life as it finds one."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í dá ọwọ́ lé ohun tí a ò lè gbé.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not lay one's hands on a load one cannot lift."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í dájọ́ orò ká yẹ̀ ẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not set the day for an orò rite and then ignore it."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í dákẹ́ ká ṣìwí; a kì í wò sùn-ùn ká dáràn.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not keep quiet and yet misspeak; one does not silently contemplate the world and yet get into trouble."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í dé Màrọ́kọ́ sin ẹlẹ́jọ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not arrive at Màrọ́kọ́ ahead of the litigant."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í fi gbèsè sọ́rùn ṣọ̀ṣọ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not carry debt around one's neck and live like a dandy."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í fi ìka ro etí, ká fi ro imú, ká wá tún fi ta ehín.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not use one's finger to clean one's ear passages, use it to pick one's nose, and then use it to pick one's teeth."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í fi orí wé oríi Mokúṣiré; bí Mokú kú láàárọ̀ a jí lálẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not liken one's fortune to Mokúṣiré's; if Mokú dies in the morning. he resurrects at night."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í fi pàtàkì bẹ́ èlùbọ́; ẹní bá níṣu ló ḿbẹ́ ẹ.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not come by yam-flour because of one's importance; only people who have yams can make yam flour."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í fini joyè àwòdì ká má lè gbádìẹ.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One cannot be given the title “eagle” and yet be incapable of snatching chickens."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í gbé sàráà kọjá-a mọ́ṣáláṣí.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not carry alms beyond the mosque."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í gbọ́ “Lù ú” lẹ́nu àgbà.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One never hears “Beat him/her up” in the mouth of an elder."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í gbọ́n ju ẹni tí a máa dÍfá fún.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One cannot be wiser than the person for whom one will consult the Ifá oracle."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í gbọ́n tó “Èmi-lóni-í.”","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One cannot be as wise as “I-am-the-owner.”"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í gbọ́n tó ẹni tí ńtannijẹ.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One is never as wise as the person deceiving one."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í gbọ́n tó Báyìí-ni-ngó-ṣe-ǹkan-àn-mi.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One cannot be as wise as “Thus-will-I-do-my-thing.”"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í jayé ọba ká ṣu sára.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not so luxuriate in one's majesty that one shits on oneself."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í jẹ oyè ẹnu ọ̀nà kalẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not bear the title of gatekeeper even until night time."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í kó èlé ṣẹ̀ṣọ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not live fashionably on borrowed money."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í kórira ọ̀fọ́n-ọ̀n ká finá bọ ahéré.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not so hate the bush rat that one sets one's farm hut alight."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í kọ́ àgbàlagbà pé bó bá rún kó rún.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not teach an elder that what has been crushed should remain crushed."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í kọ ẹlẹ́ṣin ká tún lọ fẹ́ ẹlẹ́sẹ̀.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not divorce a horse rider and go marry a pedestrian."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í lé èkúté ilé ẹni ká fọwọ́ ṣẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not shoosh the mouse in one's house and break one's hand."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í mọ́ egbò fúnra ẹni ká sunkún.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not treat one's own sore and yet cry from the pain."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í mọ ìyá Òjó ju Òjó lọ.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not presume to know Òjó's mother better than Òjó himself does."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í mọ ọ̀nà ọgbà ju ọlọ́gbà lọ; ẹní múni wá là ńtẹ̀lé.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not presume to know the way to or around a garden better than the owner of the garden; one always follows the person who brought one."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í mọ̀-ọ́ rò bí ẹlẹ́jọ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One never knows how to present it like the owner of the case."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í mú oko lọ́nà ká ṣèmẹ́lẹ́; tajá tẹran ní ḿbúni.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not farm a plot by the road and neglect its care; every dog and goat would ridicule one."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í ní agbára kékeré ṣe èkejì.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not offer to second a combatant in spite of one's negligible strength."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í ní ọ̀kánjúwà ká mọ̀; ará ilé ẹni ní ńsọ fúnni.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not know that one has covetousness; it is one's kin who so inform one."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í pe ìyàwó kó kan alárẹnà.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not summon the wife and so involve the go-between."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í peni lákọ ẹran ká ṣorí bòró.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not enjoy the designation “He Goat” and yet sport a smooth (horn-less) head."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í pẹ̀lú ọ̀bọ jáko.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not join a monkey in roaming the bush."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í ṣíwájú ẹlẹ́èẹ́dẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not conclude for the person who says “Ẹ̀ẹ́dẹ́ . . .”"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í yàgò fún “Mo gun ẹṣin rí o!”","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not get out of the way for “I used to ride a horse!”"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A kì í yàgò fún ẹlẹ́ṣin àná.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not get out of the way for a person who rode a horse yesterday."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A léṣu sílẹ̀ páńdọ̀rọ̀-ọ́ já lù ú; èlé mbénì?","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""We group yams in lots and the fruit of the sausage tree drops among them; does it count as complement to a lot, or as gratuity?"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ḿbáni mú adìẹ à ńforúnkún bó; bọ́wọ́ bá ba òkókó, a ò ní fún aládìẹ?","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One helps to catch a chicken and scrapes one's knees; having laid one's hands on the chick will one not hand it over to the owner?"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ḿbẹ̀rù alájá, ajá ṣebí òun là ḿbẹ̀rù.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One shows deference to the dog's owner, and the dog thinks the deference is to it."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ńgé e lọ́wọ́, ó ḿbọ òrùka.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""His hand is being severed, yet he is slipping on a ring."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A ní ká wá ẹni tó lẹ́hìn ká fọmọ fún, abuké ní òun rèé; ti gànnàkù ẹ̀hìn-in rẹ̀ là ńwí?","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One seeks a person with a prominent back as suitor for one's daughter, and the humpback presents himself; who spoke of protruding back?"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A ní Tanlúkú ò mọ̀-ọ́ jó, Tàǹlukú wá gbè é lẹ́sẹ̀.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""People say that Tanlúkú is a poor dancer, and Tanlùkù comes to his aid."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ńjá ìbàǹtẹ́ ẹ̀ lẹ́hìn, ó ńjá tará iwájú.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""His loincloth is being stripped from behind, yet he is stripping those of the people ahead of him."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ńsọ̀rọ̀ olè, aboyún ńdáhùń; odiidi èèyàn ló gbé pamọ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""We speak of stealing and a pregnant woman intervenes; she herself is concealing a whole person."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ńsunkún Awúgbó, Awúgbó ò sunkún ara-a ẹ̀.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""We lament Awúgbó's plight; Awúgbó does not lament his own plight."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ńwá ẹni tí a ó fọmọ fún, olòṣì ńyọjú.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""We seek a person to give a child to (in marriage) and a worthless person presents himself."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"À ńwọ́nà àti fi aṣiwèrè sílẹ̀, ó ní bí a bá dé òkè odò ká dúró de òun.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""People are scheming to shake an imbecile from their company, and he asks that they wait for him on reaching the bank of the river."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A ò lóbìnrin à ńdá oóyọ́ sí; bí a bá dá oóyọ́ sí ewúrẹ́ ni yó jẹ ẹ́.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""Without having a wife a person spares oóyọ́"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A ò mọ ohun tí eléwé-e gbégbé ńtà kó tó sọ pé ọjà ò tà.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not know what the seller of gbégbé leaves was selling before she started complaining about the slow market."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A ò mọ ohun tí Dárò-ó ní kó tó wí pé olè-é kó òun.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""One does not know what Dárò owned before he claimed to have been robbed."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A pè ọ́ lọ́mọ erín-màgbọn ò ńyọ̀; ìwọ pàápàá ló mì í?","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""You are described as the child of the elephant that swallows coconuts, and you rejoice; are you the one who swallows coconuts?"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A rí èyí rí ni tonílé; a ò rí èyí rí ni tàlejò; bónílé bá ní ká jẹ ẹ́ tán, àlejò a ní ká jẹ ẹ́ kù.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""“Its likes have been seen before,” is what the host says; “No one has ever seen its likes before,” is what the guest says; if the host says that we should empty the plate, the guest should argue for leaving a little."", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
"A rígi lóko ká tó fi ọ̀mọ̀ gbẹ́ ìlù.","proverb","1","{""source"": ""Yoruba Proverbs"", ""genre"": ""proverb"", ""english_translation"": ""We saw other trees in the bush before we settled on ọ̀mọ̀"", ""origin"": ""mxronga/yoruba-proverbs-parallel-corpora (Apache-2.0)"", ""license"": ""Apache-2.0"", ""dialect_assigned_default"": true}"
